"パケット","シーケンス","間隔 (ms)","ジッタ (ms)","Skew","帯域","マーカー","状態"
"127.0.0.1:6000 → 127.0.0.1:6000 (0xca110000)"
237,116,15.202999999999975,6.449552801877531,7.45699999999988,81.6,"","OK"
239,117,31.139999999999873,6.742705751760178,-3.6829999999999927,80,"","OK"
241,118,15.452999999999975,6.605474142275168,0.8640000000000327,80,"","OK"
243,119,15.599999999999909,6.467632008382975,5.264000000000124,81.6,"","OK"
246,120,30.687000000000353,6.731342507859061,-5.423000000000229,80,"","OK"
247,121,15.567999999999756,6.587633601117885,-0.9909999999999854,80,"","OK"
250,122,16.166000000000167,6.415531501048006,2.842999999999847,81.6,"","OK"
251,123,16.01000000000022,6.263935782232492,6.832999999999629,81.6,"","OK"
255,124,30.199999999999818,6.50993979584295,-3.367000000000189,80,"","OK"
259,125,15.786000000000058,6.366443558602762,0.8469999999997526,80,"","OK"
261,126,15.635999999999967,6.241290836190091,5.210999999999785,81.6,"","OK"
263,127,30.702999999999975,6.520147658928209,-5.492000000000189,80,"","OK"
265,128,15.951000000000022,6.365700930245194,-1.443000000000211,80,"","OK"
267,129,15.368999999999687,6.257282122104889,3.188000000000102,81.6,"","OK"
269,130,15.929000000000087,6.120639489473328,7.2590000000000146,81.6,"","OK"
271,131,31.807000000000244,6.47603702138126,-4.548000000000229,80,"","OK"
273,132,15.306999999999789,6.364597207544945,0.1449999999999818,80,"","OK"
275,133,15.545000000000073,6.245247382073381,4.599999999999909,81.6,"","OK"
278,134,30.66899999999987,6.521731920693786,-6.06899999999996,80,"","OK"
279,135,15.367999999999938,6.403623675650429,-1.4369999999998981,80,"","OK"
281,136,15.965000000000146,6.255584695922268,2.5979999999999563,81.6,"","OK"
283,137,15.315999999999804,6.157360652427139,7.282000000000153,81.6,"","OK"
285,138,30.978000000000065,6.458650611650446,-3.6959999999999127,80,"","OK"
287,139,15.431000000000495,6.340547448422263,0.8729999999995925,80,"","OK"
289,140,15.51299999999992,6.224700732895877,5.359999999999673,81.6,"","OK"
291,141,31.272999999999683,6.540219437089864,-5.913000000000011,80,"","OK"
293,142,16.228000000000065,6.367205722271744,-2.1410000000000764,80,"","OK"
295,143,16.003999999999905,6.219005364629766,1.8550000000000182,81.6,"","OK"
297,144,15.62900000000036,6.103505029340383,6.225999999999658,81.6,"","OK"
299,145,31.42199999999957,6.435910965006582,-5.195999999999913,80,"","OK"
302,146,15.770000000000437,6.298041529693643,-0.9660000000003492,80,"","OK"
303,147,15.957999999999629,6.157038934087813,3.076000000000022,81.6,"","OK"
305,148,14.878000000000156,6.0923490007073156,8.197999999999865,81.6,"","OK"
307,149,30.260999999999967,6.352889688163106,-2.063000000000102,80,"","OK"
309,150,15.677000000000135,6.226021582652904,2.2599999999997635,81.6,"","OK"
311,151,15.02599999999984,6.147770233737107,7.233999999999924,81.6,"","OK"
314,152,30.13700000000017,6.397097094128549,-2.9030000000002474,80,"","OK"
315,153,15.57400000000007,6.27390352574551,1.5229999999996835,81.6,"","OK"
317,154,15.804999999999836,6.143972055386426,5.717999999999847,81.6,"","OK"
319,155,31.94399999999996,6.506473801924772,-6.226000000000113,80,"","OK"
321,156,15.561999999999898,6.37719418930448,-1.788000000000011,80,"","OK"
323,157,15.94399999999996,6.232119552472953,2.268000000000029,81.6,"","OK"
325,158,15.045000000000073,6.152299580443389,7.222999999999956,81.6,"","OK"
328,159,31.075000000000273,6.459968356665694,-3.8520000000003165,80,"","OK"
329,160,15.717999999999847,6.323845334374098,0.4299999999998363,81.6,"","OK"
331,161,15.980999999999767,6.179792500975731,4.449000000000069,81.6,"","OK"
333,162,15.952999999999975,6.046492969664749,8.496000000000095,81.6,"","OK"
336,163,31.05600000000004,6.3595871590607045,-2.5599999999999454,81.6,"","OK"
337,164,15.784000000000106,6.225612961619404,1.655999999999949,81.6,"","OK"
339,165,15.086999999999989,6.1435746515181915,6.56899999999996,81.6,"","OK"
341,166,31.78800000000001,6.496351235798305,-5.219000000000051,80,"","OK"
343,167,15.930000000000291,6.344704283560893,-1.149000000000342,81.6,"","OK"
345,168,14.990999999999985,6.261222765838339,3.8599999999996726,81.6,"","OK"
347,169,29.855999999999767,6.485896342973428,-5.996000000000095,80,"","OK"
349,170,15.021999999999935,6.391652821537592,-1.018000000000029,81.6,"","OK"
351,171,14.918999999999869,6.309737020191501,4.063000000000102,81.6,"","OK"
353,172,15.994000000000142,6.165753456429523,8.06899999999996,81.6,"","OK"
355,173,31.945999999999913,6.527018865402672,-3.8769999999999527,80,"","OK"
